The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
1548,      English and non-official language,410,1545,435,425,495,1225,2050,415,1240,495,980,600,530,2705,555,200,185,205,2470,1520,990,250,19920,86455
1549,      French and non-official language,0,5,0,5,0,5,5,0,0,5,0,5,5,5,0,0,0,5,5,0,10,0,65,225
1550,"      English, French and non-official language",5,20,0,5,10,10,15,10,5,20,15,10,5,25,5,5,10,5,20,10,40,0,255,1070
1551,  Total - Language spoken most often at home for females excluding institutional residents - 100% data,8270,28375,11010,18105,14840,17490,25100,7470,15155,22790,12360,16605,6955,26240,11665,4350,4045,4955,18510,15740,22350,6855,318400,1248470
1552,    Single responses,7750,26505,10455,17450,14235,16080,22685,7025,13685,22045,11130,15795,6305,23045,10970,4060,3830,4765,15725,13975,21125,6525,294330,1150245
1553,      Official languages,4800,19815,8075,15585,12245,10080,14390,4665,8070,20110,6350,13945,3145,11625,8690,2850,3055,3145,7720,6480,17515,5185,206775,819870
1554,        English,4775,19580,8015,15415,12135,10035,14265,4630,8030,19850,6305,13795,3125,11575,8615,2835,3030,3105,7685,6445,17205,5135,204835,815500
1555,        French,30,230,60,170,115,45,125,35,40,260,45,150,20,50,75,15,25,40,30,30,310,45,1935,4365
1556,      Non-official languages,2955,6695,2380,1860,1985,5995,8300,2365,5615,1935,4775,1850,3160,11415,2280,1215,775,1620,8000,7490,3610,1345,87565,330375
1557,        Aboriginal languages,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,30,55
1558,          Algonquian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
1559,            Blackfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560,            Cree-Montagnais languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
1561,              Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1562,              Montagnais (Innu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,              Moose Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564,              Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,              Northern East Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,              Plains Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,              Southern East Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1568,              Swampy Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,              Woods Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,"              Cree, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
1571,            Eastern Algonquian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1572,              Malecite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1573,              Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,            Ojibway-Potawatomi languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1575,              Algonquin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1576,              Ojibway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1577,              Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1578,              Ottawa (Odawa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579,"            Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,          Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,10
1581,            Northern Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
1582,              Babine (Wetsuwet'en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,              Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,              Carrier,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1585,              Chilcotin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,              Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1587,              Dogrib (Tlicho),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,              Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,              Sarsi (Sarcee),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,              Sekani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,              Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,                North Slavey (Hare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,                South Slavey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,"                Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,              Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,                Kaska (Nahani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,                Tahltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,              Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,                Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,                Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,"            Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,          Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,          Inuit languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,            Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,            Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"            Inuit languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,          Iroquoian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,            Cayuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,            Mohawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,            Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,"            Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,          Kutenai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,          Michif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,          Salish languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,            Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,            Halkomelem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,            Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1618,            Okanagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,            Shuswap (Secwepemctsin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1620,            Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621,            Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,            Thompson (Ntlakapamux),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,"            Salish languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,          Siouan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1625,            Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
1626,            Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627,"            Siouan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1628,          Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629,          Tsimshian languages,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,5
1630,            Gitxsan (Gitksan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1631,            Nisga'a,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1632,            Tsimshian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1633,          Wakashan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1634,            Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1635,            Heiltsuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1636,            Kwakiutl (Kwak'wala),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1637,            Nuu-chah-nulth (Nootka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638,"            Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,"          Aboriginal languages, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10
1640,        Non-Aboriginal languages,2955,6690,2380,1865,1975,6000,8300,2365,5615,1935,4775,1845,3160,11415,2280,1215,775,1615,8000,7490,3610,1345,87530,330320
1641,          Afro-Asiatic languages,20,220,15,55,25,35,40,15,40,35,55,45,30,75,30,15,20,25,75,25,80,15,980,5935
1642,            Berber languages,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1643,              Kabyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1644,"              Berber languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
1645,            Cushitic languages,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,15,0,0,0,35,385
1646,              Bilen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1647,              Oromo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,15,35
1648,              Somali,0,5,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,20,345
1649,"              Cushitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1650,            Semitic languages,20,220,20,55,25,30,35,15,40,30,55,40,30,60,30,15,20,15,60,25,80,15,940,5530
1651,              Amharic,0,5,0,0,0,0,10,0,10,5,0,0,0,10,0,5,0,0,5,5,5,0,65,290
1652,              Arabic,15,185,10,25,15,25,20,0,20,15,35,25,15,40,5,0,5,15,30,15,70,0,575,4275
1653,              Assyrian Neo-Aramaic,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,20,205
1654,              Chaldean Neo-Aramaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,145
1655,              Harari,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1656,              Hebrew,10,30,5,25,5,5,10,15,5,15,10,15,15,5,20,10,15,0,10,5,5,10,235,380
1657,              Maltese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,              Tigrigna,0,5,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,5,5,5,0,0,30,195
1659,"              Semitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1660,"            Afro-Asiatic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1661,          Austro-Asiatic languages,5,40,5,0,155,450,885,15,235,5,35,130,30,925,100,0,5,140,280,355,15,5,3815,8045
1662,            Khmer (Cambodian),0,0,0,0,0,0,25,0,0,0,0,5,0,15,0,0,0,5,10,10,0,0,75,325
1663,            Vietnamese,5,40,10,5,155,445,865,15,230,5,35,125,30,915,100,5,5,135,270,350,15,5,3735,7710
1664,"            Austro-Asiatic languages, n.i.e",0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,5
1665,          Austronesian languages,20,90,15,60,135,280,1075,10,445,30,385,355,40,1275,265,20,20,20,1225,580,95,0,6440,19755
1666,            Bikol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,35
1667,            Cebuano,0,0,0,5,0,10,30,0,15,0,5,5,0,35,5,0,5,0,10,15,5,0,155,600
1668,            Fijian,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,10,50
1669,            Hiligaynon,0,0,0,0,5,0,20,0,10,0,0,5,0,10,5,0,0,0,10,15,0,0,80,205
1670,            Ilocano,0,0,0,0,5,10,75,0,35,0,20,10,0,90,15,0,0,0,85,35,0,0,375,840
1671,            Malagasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,            Malay,10,25,5,10,0,5,5,0,5,10,5,5,5,25,0,5,5,0,10,0,15,0,155,570
1673,"            Pampangan (Kapampangan, Pampango)",0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,25,70
1674,            Pangasinan,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,10,30
1675,"            Tagalog (Pilipino, Filipino)",5,55,10,40,130,240,905,10,375,20,350,330,35,1095,235,15,10,15,1090,495,65,0,5540,17190
1676,            Waray-Waray,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30
1677,"            Austronesian languages, n.i.e.",0,5,0,0,0,10,20,0,0,0,0,0,0,20,0,0,0,5,5,5,0,0,70,135
1678,          Creole languages,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,25,160
1679,            Haitian Creole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1680,"            Creole, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,120
1681,"            Creole languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1682,          Dravidian languages,0,15,0,5,0,10,80,5,20,0,20,20,5,65,20,5,0,0,235,40,5,0,565,1655
1683,            Kannada,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,55
1684,            Malayalam,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,45,15,0,0,85,440
1685,            Tamil,0,5,5,0,5,10,75,0,15,0,20,15,5,50,20,5,0,0,170,30,5,0,430,965
1686,            Telugu,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,30,190
1687,"            Dravidian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1688,          Hmong-Mien languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1689,          Indo-European languages,230,2645,220,660,460,855,1090,165,885,860,460,405,290,1480,355,85,130,90,3425,970,1975,205,17935,113500
1690,            Albanian,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,270
1691,            Armenian,10,5,5,10,5,5,5,0,5,0,10,0,0,0,10,0,0,0,5,0,10,0,80,280
1692,            Balto-Slavic languages,45,730,40,245,75,90,100,30,190,210,140,120,75,170,50,5,30,20,35,50,570,40,3040,13350
1693,              Baltic languages,0,5,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,25,85
1694,                Latvian,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,40
1695,                Lithuanian,0,5,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,50
1696,              Slavic languages,45,720,40,245,75,90,100,30,190,205,140,115,75,170,45,5,30,20,35,45,560,40,3020,13265
1697,                Belarusan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1698,                Bosnian,0,15,0,5,5,0,0,5,10,5,0,0,5,5,0,0,0,0,0,0,10,5,55,270
1699,                Bulgarian,0,40,0,15,0,5,0,0,0,20,5,10,0,0,0,0,0,0,0,0,15,5,125,495
1700,                Croatian,0,15,0,15,15,45,15,0,5,5,5,0,10,35,5,0,5,5,5,15,15,0,210,950
1701,                Czech,0,10,0,15,0,0,5,0,0,15,5,5,0,10,5,0,0,0,5,5,35,5,130,510
1702,                Macedonian,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,20,65
1703,                Polish,5,60,5,25,25,5,30,0,85,20,15,20,5,15,10,5,5,5,5,10,75,5,450,2355
1704,                Russian,15,300,20,70,15,15,25,10,60,75,75,45,55,50,15,0,15,10,10,5,230,15,1140,5670
1705,                Serbian,10,195,5,80,15,10,15,10,15,40,20,15,5,25,5,5,0,0,5,5,105,0,585,1710
1706,                Serbo-Croatian,0,45,5,10,0,0,0,5,5,5,5,5,0,10,0,0,5,0,0,5,20,0,115,235
1707,                Slovak,5,20,0,0,0,0,0,0,0,5,5,5,0,10,5,0,0,0,10,0,30,5,80,400
1708,                Slovene (Slovenian),0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,30
1709,                Ukrainian,0,15,0,10,0,5,0,0,5,10,5,5,0,10,5,0,5,0,0,0,30,0,100,540
1710,"                Slavic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
1711,            Celtic languages,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
1712,              Scottish Gaelic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1713,              Welsh,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1714,"              Celtic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715,            Germanic languages,20,90,50,65,20,10,25,15,15,125,15,30,10,10,20,0,10,0,50,10,90,30,715,2460
1716,              Afrikaans,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,270
1717,              Danish,0,0,5,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,25,90
1718,              Dutch,5,10,10,10,5,0,0,0,0,15,5,5,0,0,0,0,0,0,5,0,10,5,80,365
1719,              Frisian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1720,              German,20,55,30,40,15,10,20,15,15,85,10,20,0,15,15,0,5,5,45,15,60,20,510,1550
1721,              Icelandic,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,15,25
1722,              Norwegian,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40
1723,              Swedish,0,10,0,5,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,10,5,50,115
1724,              Vlaams (Flemish),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1725,              Yiddish,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1726,"              Germanic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1727,            Greek,55,5,30,10,15,20,20,10,10,145,10,10,5,25,25,10,0,0,15,15,5,15,450,895
1728,            Indo-Iranian languages,55,1235,50,120,60,170,510,60,395,110,140,90,140,635,130,45,45,25,3070,665,590,70,8410,80195
1729,              Indo-Aryan languages,15,90,20,20,25,120,475,35,330,30,90,60,100,580,120,25,25,15,3000,635,65,10,5885,65150
1730,                Bengali,0,10,0,5,5,25,15,5,5,0,15,30,5,25,5,0,0,0,110,35,5,5,295,800
1731,                Gujarati,0,15,0,10,5,10,20,5,25,0,0,5,0,35,5,0,0,5,55,15,15,5,230,1530
1732,                Hindi,5,20,0,5,10,30,95,10,45,5,15,5,5,170,35,0,5,0,215,65,25,5,775,5925
1733,                Kashmiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1734,                Konkani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
1735,                Marathi,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,0,20,115
1736,                Nepali,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,35,265
1737,                Oriya (Odia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
1738,                Punjabi (Panjabi),10,15,10,0,5,50,310,10,220,10,50,10,75,330,70,15,15,5,2520,495,5,5,4245,53225
1739,                Sindhi,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,5,5,0,40,340
1740,                Sinhala (Sinhalese),0,0,0,0,0,5,15,0,5,0,5,0,0,5,0,0,0,0,5,5,5,0,40,310
1741,                Urdu,0,15,0,5,10,5,15,10,15,0,5,0,10,10,0,5,0,5,75,20,0,0,200,2610
1742,              Iranian languages,35,1140,30,100,30,50,35,25,65,80,50,30,45,55,10,15,25,15,65,25,525,55,2520,14960
1743,                Kurdish,0,20,0,5,5,5,5,0,15,0,0,5,0,10,5,5,5,5,5,10,5,0,115,505
1744,                Pashto,0,0,0,0,5,0,5,0,5,0,0,0,0,5,0,0,0,0,30,0,0,0,45,330
1745,                Persian (Farsi),35,1120,30,100,20,40,25,20,45,85,50,25,45,45,10,15,25,5,35,15,520,55,2360,14125
1746,"              Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,90
1747,            Italic (Romance) languages,40,590,55,205,295,555,425,50,275,275,140,160,65,630,115,25,45,45,255,230,710,45,5210,16035
1748,              Catalan,0,0,5,5,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,5,0,25,30
1749,              Italian,5,25,10,10,120,340,100,0,25,25,5,20,0,165,20,0,0,0,5,55,30,0,970,2230
1750,              Portuguese,0,155,10,35,35,50,145,10,40,45,35,35,20,210,20,5,5,0,50,50,270,10,1230,2685
1751,              Romanian,0,30,0,15,0,0,5,5,15,15,25,10,10,5,0,5,0,0,5,0,55,5,200,1670
1752,              Spanish,35,375,35,140,135,170,180,35,190,180,75,95,20,250,65,20,30,40,195,125,355,35,2775,9405
1753,"              Italic (Romance) languages, n.i.e.",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
1754,          Japanese,40,290,40,140,65,75,95,50,90,120,125,80,45,195,70,20,35,5,55,55,355,35,2085,4855
1755,          Kartvelian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1756,            Georgian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1757,          Korean,125,710,65,100,40,40,70,120,175,90,110,100,105,210,15,30,15,5,45,35,435,35,2665,18500
1758,          Mongolic languages,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,40,85
1759,            Mongolian,0,15,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,15,0,40,85
1760,          Niger-Congo languages,5,5,0,0,5,5,0,0,5,0,5,5,0,10,0,0,0,5,10,5,5,0,65,405
1761,            Akan (Twi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,55
1762,            Bamanankan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1763,            Edo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1764,            Ewe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
1765,"            Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,            Ga,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1767,            Ganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
